,precision,recall,f1-score,support
Eskimo_dog,0.325,0.41935483870967744,0.36619718309859156,31.0
miniature_poodle,0.5172413793103449,0.4166666666666667,0.46153846153846156,36.0
collie,0.6470588235294118,0.3793103448275862,0.4782608695652174,29.0
toy_poodle,0.5,0.4838709677419355,0.4918032786885246,31.0
English_foxhound,0.5714285714285714,0.5217391304347826,0.5454545454545454,23.0
Siberian_husky,0.6382978723404256,0.5555555555555556,0.594059405940594,54.0
Appenzeller,0.7391304347826086,0.5151515151515151,0.6071428571428571,33.0
Staffordshire_bullterrier,0.76,0.5588235294117647,0.6440677966101694,34.0
Norfolk_terrier,0.7083333333333334,0.6071428571428571,0.6538461538461539,28.0
American_Staffordshire_terrier,0.6470588235294118,0.6666666666666666,0.6567164179104478,33.0
malamute,0.6666666666666666,0.6842105263157895,0.6753246753246753,38.0
silky_terrier,0.75,0.6176470588235294,0.6774193548387096,34.0
Lhasa,0.696969696969697,0.696969696969697,0.696969696969697,33.0
standard_poodle,0.7096774193548387,0.6875,0.6984126984126984,32.0
kuvasz,0.8333333333333334,0.6060606060606061,0.7017543859649122,33.0
kelpie,0.75,0.6666666666666666,0.7058823529411765,27.0
Walker_hound,0.8,0.631578947368421,0.7058823529411765,38.0
Yorkshire_terrier,0.6046511627906976,0.896551724137931,0.7222222222222222,29.0
standard_schnauzer,0.7419354838709677,0.71875,0.7301587301587301,32.0
German_shepherd,0.7777777777777778,0.7,0.7368421052631579,20.0
Bouvier_des_Flandres,0.782608695652174,0.72,0.75,25.0
Shetland_sheepdog,0.6666666666666666,0.8571428571428571,0.75,28.0
Australian_terrier,0.7674418604651163,0.7333333333333333,0.75,45.0
Norwich_terrier,0.76,0.7450980392156863,0.7524752475247525,51.0
Lakeland_terrier,0.8285714285714286,0.6904761904761905,0.7532467532467533,42.0
EntleBucher,0.7017543859649122,0.8163265306122449,0.7547169811320755,49.0
Shih-Tzu,0.7555555555555555,0.7555555555555555,0.7555555555555555,45.0
beagle,0.6666666666666666,0.875,0.7567567567567568,32.0
Chihuahua,0.6944444444444444,0.8333333333333334,0.7575757575757576,30.0
toy_terrier,0.8518518518518519,0.696969696969697,0.7666666666666667,33.0
Rhodesian_ridgeback,0.6944444444444444,0.8620689655172413,0.7692307692307693,29.0
Welsh_springer_spaniel,0.68,0.8947368421052632,0.7727272727272727,19.0
Great_Pyrenees,0.7843137254901961,0.7843137254901961,0.7843137254901961,51.0
Irish_wolfhound,0.8108108108108109,0.7692307692307693,0.7894736842105263,39.0
Brittany_spaniel,0.8260869565217391,0.76,0.7916666666666666,25.0
Doberman,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
Border_collie,0.8108108108108109,0.7894736842105263,0.8,38.0
bull_mastiff,0.7586206896551724,0.8461538461538461,0.8,26.0
miniature_pinscher,0.8055555555555556,0.8055555555555556,0.8055555555555556,36.0
Italian_greyhound,0.7631578947368421,0.8529411764705882,0.8055555555555556,34.0
